,Unnamed: 0,q,que,refer_content,ai_answer,a,create_time,kb_ids,goods_name,order_status,refund_status
13,13,好的呢,"[{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""在哪""},{""role"":""user"",""content"":""好的亲""},{""role"":""user"",""content"":""再见""},{""role"":""assistant"",""content"":""再见亲""},{""role"":""user"",""content"":""有哪些尺码""},{""role"":""assistant"",""content"":""亲 参考下哦""},{""role"":""user"",""content"":""好的呢""}]","['问题：""！今天7:00做了到现在还没凝固了。这个芒果的做不到10分钟都凝固了。..现在把那个草莓了又加里头50克。我给那杯子里的全部到了又加上50克看凝固不凝固。"", 答案：""好的""', '问题：""我打开了一罐退俩罐一共三个退俩罐"", 答案：""好的""', '问题：""稍等"", 答案：""好的""', '问题：""三个"", 答案：""好的""', '问题：""感恩"", 答案：""好的""', '问题：""好的"", 答案：""稍等""', '问题：""好的"", 答案：""好的亲🌹""', '问题：""明天打给你看吧"", 答案：""好的""', '问题：""好的"", 答案：""参考咱们制作图文亲""']",好的亲,,2024-04-17 11:49:14,"12,18",小白帆布鞋2023年新款,待发货,退款成功
14,14,有哪些尺码,"[{""role"":""user"",""content"":""不买了谢谢""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""在哪""},{""role"":""user"",""content"":""好的亲""},{""role"":""user"",""content"":""再见""},{""role"":""assistant"",""content"":""再见亲""},{""role"":""user"",""content"":""有哪些尺码""}]","['问题：""上面的比例牛奶的后面只写了1呀。"", 答案：""比例""', '问题：""我秤了"", 答案：""你好 在的亲""', '问题：""比例？"", 答案：""1:6的""', '问题：""我要拍的这款总共重量多少？"", 答案：""亲 一罐350g""', '问题：""亲这个是600ml的水还是800的水呀"", 答案：""比例是重量哈""', '问题：""比例是多少？"", 答案：""亲 参考下哦""', '问题：""比例多少"", 答案：""1:1""', '问题：""比例多少"", 答案：""1:6的亲""', '问题：""总重量多少？"", 答案：""袋装500g 桶装400g 灌装300g 您根据选项拍的""', '问题：""产品类别"", 答案：""预拌粉""']",亲 参考下哦,亲 参考下哦,2024-04-17 11:48:52,"12,18",小白帆布鞋2023年新款,待发货,退款成功
15,15,你好呢在哪好的亲再见,"[{""role"":""user"",""content"":""你好吧""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？还需要买啥""},{""role"":""user"",""content"":""不买了谢谢""},{""role"":""assistant"",""content"":""好的""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""在哪""},{""role"":""user"",""content"":""好的亲""},{""role"":""user"",""content"":""你好呢在哪好的亲再见""}]","['问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""怎么打"", 答案：""你好 在的亲""', '问题：""亲这个歌"", 答案：""你好 在的亲""', '问题：""对了"", 答案：""你好 在的亲""', '问题：""好的好的我之前购买的商品遇到了售后问题，能尽快帮我处理一下么？我之前购买的商品遇到了售后问题，能尽快帮我处理一下么？"", 答案：""你好 在的亲""', '问题：""你好！"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""402570424@qq.com"", 答案：""好的 亲""']",再见亲,再见亲,2024-04-17 11:48:19,"12,18",小白帆布鞋2023年新款,待发货,退款成功
17,17,不买了谢谢,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""你好吧""},{""role"":""assistant"",""content"":""亲，您好，有什么可以帮您的吗？还需要买啥""},{""role"":""user"",""content"":""不买了谢谢""}]","['问题：""不想买了"", 答案：""亲 可以申请退款哦""', '问题：""行了在不买了"", 答案：""🌹""', '问题：""这个不要了别发货谢谢！"", 答案：""亲 尽快同意下哦""', '问题：""退货吧不要了"", 答案：""亲直接申请就可以哈""', '问题：""请不要发货谢谢"", 答案：""亲 麻烦您在订单上申请退款哦""', '问题：""买两单都不送，真行，不买好了"", 答案：""看选项哦亲，选项上面有写的就送，没有写的就不送哦""', '问题：""把上面的取消吧，谢谢价格还能便宜吗"", 答案：""现在本身就是优惠价哈""', '问题：""不要了"", 答案：""亲，您申请退款哦""', '问题：""你好，我要退货"", 答案：""好的亲。您申请退货退款，商品寄回就可以哈""', '问题：""我没开封的能退吗买多了"", 答案：""亲，可以退的哦~""']",好的,好的,2024-04-17 11:09:50,"12,18",小白帆布鞋2023年新款,待发货,退款成功
23,24,怎么卖,"[{""role"":""user"",""content"":""我才""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""***""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""我很生气""},{""role"":""user"",""content"":""我真的很生气""},{""role"":""assistant"",""content"":""亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""},{""role"":""user"",""content"":""怎么卖""}]","['问题：""卖的"", 答案：""具体次数需要根据您的使用量和制作方式而定哦~""', '问题：""怎么用"", 答案：""冲泡即食哈亲""', '问题：""快点帮我发啊我是拿来卖的"", 答案：""亲亲，正常48小时内发货呢。""', '问题：""怎么"", 答案：""你好 在的亲""', '问题：""怎么转出"", 答案：""亲 这边已经联系快递了哦""', '问题：""为什么不卖给我？咋回事啊"", 答案：""亲 北京开会的原因 暂时停发了""', '问题：""怎么吃"", 答案：""冲泡即食的亲""', '问题：""怎么吃"", 答案：""热水冲泡即可""', '问题：""能批发吗"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""这个怎么做"", 答案：""参考下""']",亲 具体的您看下选项,,2024-04-17 10:02:04,"12,18",小白帆布鞋2023年新款,待发货,退款成功
24,25,我很生气我真的很生气,"[{""role"":""user"",""content"":""去***""},{""role"":""user"",""content"":""我才""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""***""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""我很生气""},{""role"":""user"",""content"":""我很生气我真的很生气""}]","['问题：""一看气炸了"", 答案：""亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""真无语了"", 答案：""什么问题呢亲""', '问题：""[我伤心了]"", 答案：""亲 这边已经催促快递了""', '问题：""麻烦了"", 答案：""好的""', '问题：""真的好麻烦"", 答案：""实在抱歉""', '问题：""你看看上面时间吧，今天多少号了，这是第一次处理情况，而且货已经完美退货！你们把时间看清楚再说"", 答案：""实在抱歉""', '问题：""不满意"", 答案：""亲 不满意的话 可以申请退货退款""', '问题：""你好，有教学视频不谢谢"", 答案：""客气了""', '问题：""[谢谢]"", 答案：""客气了""', '问题：""好再来"", 答案：""嗯""']",,亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。,2024-04-16 19:55:37,"12,18",小白帆布鞋2023年新款,待发货,退款成功
25,26,我很生气,"[{""role"":""user"",""content"":""你好吧""},{""role"":""user"",""content"":""去***""},{""role"":""user"",""content"":""我才""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""***""},{""role"":""assistant"",""content"":""你好 在的亲""},{""role"":""user"",""content"":""我很生气""}]","['问题：""一看气炸了"", 答案：""亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""真无语了"", 答案：""什么问题呢亲""', '问题：""[我伤心了]"", 答案：""亲 这边已经催促快递了""', '问题：""麻烦了"", 答案：""好的""', '问题：""真的好麻烦"", 答案：""实在抱歉""', '问题：""你看看上面时间吧，今天多少号了，这是第一次处理情况，而且货已经完美退货！你们把时间看清楚再说"", 答案：""实在抱歉""', '问题：""不满意"", 答案：""亲 不满意的话 可以申请退货退款""', '问题：""你好，有教学视频不谢谢"", 答案：""客气了""', '问题：""[谢谢]"", 答案：""客气了""', '问题：""好再来"", 答案：""嗯""']",亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。,,2024-04-16 19:55:29,"12,18",小白帆布鞋2023年新款,待发货,退款成功
26,27,买的好你好吧去***我才好的***,"[{""role"":""user"",""content"":""买的好""},{""role"":""user"",""content"":""你好吧""},{""role"":""user"",""content"":""去***""},{""role"":""user"",""content"":""我才""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""买的好你好吧去***我才好的***""}]","['问题：""买了3次好"", 答案：""🌹""', '问题：""谢谢！好的话以后都在你家买谢谢"", 答案：""好的 亲""', '问题：""你好货到了"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""你们这个没有，我之前买的那个好。"", 答案：""亲亲，咱这边保证自家质量的哈""', '问题：""我之前买过"", 答案：""亲 时间太长 看不到您的订单了""', '问题：""好"", 答案：""好的亲""', '问题：""好"", 答案：""🌹""', '问题：""你你好吧你好你好的你好呢你好你还"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""买的多"", 答案：""亲亲，我们这里都是活动价哦~""', '问题：""好的，哪个卖的快"", 答案：""亲亲，都很好哈可以根据自己需求选择哈""']",你好 在的亲,你好 在的亲,2024-04-16 19:55:09,"12,18",小白帆布鞋2023年新款,待发货,退款成功
27,28,买的好,"[{""role"":""user"",""content"":""我要买多少？""},{""role"":""assistant"",""content"":""亲 您需要多少呢""},{""role"":""user"",""content"":""我需要半包""},{""role"":""assistant"",""content"":""亲 不支持半包购买哦""},{""role"":""user"",""content"":""在吗""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""好的呢""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""再见""},{""role"":""assistant"",""content"":""再见亲""},{""role"":""user"",""content"":""买的好""}]","['问题：""买的多"", 答案：""亲亲，我们这里都是活动价哦~""', '问题：""买了3次好"", 答案：""🌹""', '问题：""好"", 答案：""🌹""', '问题：""好"", 答案：""好的亲""', '问题：""好"", 答案：""华都""', '问题：""好"", 答案：""亲，这边帮您联系快递核重，您稍等""', '问题：""好"", 答案：""您现在收到八包是吧""', '问题：""好啊"", 答案：""好的亲""', '问题：""好的"", 答案：""好的亲🌹""', '问题：""打发以后放置不会变稀了吧我要原味的一袋看看吧，一袋出多少啊"", 答案：""好的""']",亲亲，非常感谢您的支持~,,2024-04-16 19:54:37,"12,18",小白帆布鞋2023年新款,待发货,退款成功
28,29,再见,"[{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""我要买多少？""},{""role"":""assistant"",""content"":""亲 您需要多少呢""},{""role"":""user"",""content"":""我需要半包""},{""role"":""assistant"",""content"":""亲 不支持半包购买哦""},{""role"":""user"",""content"":""在吗""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""好的呢""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""再见""}]","['问题：""不要了"", 答案：""亲，您申请退款哦""', '问题：""谢谢"", 答案：""不客气哈亲""', '问题：""谢谢"", 答案：""不客气亲""', '问题：""谢谢"", 答案：""客气了亲""', '问题：""谢谢了"", 答案：""不客气亲，后续有专员确认给您地址，您耐心等待下哈""', '问题：""撤了"", 答案：""一共是八个快递包裹吗""', '问题：""<运营问题>是否有季节性或地域限制？"", 答案：""无""', '问题：""<商品成分>有无致敏源？"", 答案：""无""', '问题：""你好"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""好再来"", 答案：""嗯""']",再见亲,再见亲,2024-04-16 19:33:35,"12,18",小白帆布鞋2023年新款,待发货,退款成功
30,31,在吗,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲111""},{""role"":""user"",""content"":""怎么买？""},{""role"":""assistant"",""content"":""拍随意搭配的""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""我要买多少？""},{""role"":""assistant"",""content"":""亲 您需要多少呢""},{""role"":""user"",""content"":""我需要半包""},{""role"":""assistant"",""content"":""亲 不支持半包购买哦""},{""role"":""user"",""content"":""在吗""}]","['问题：""一包"", 答案：""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""', '问题：""2包。我是想拿小包的先试试"", 答案：""好的""', '问题：""一大包"", 答案：""亲，这边帮您联系快递核重，您稍等""', '问题：""多少包"", 答案：""根据选项看下哦""', '问题：""可是我这包只有50g"", 答案：""亲 您一共收到几袋""', '问题：""有一包漏了"", 答案：""亲，可能是打包的时候挤压导致的，不影响食用的哦。这边给您申请2元的补偿可以吗。""', '问题：""可以加急吗就一包"", 答案：""亲 这边会催下仓库 不能保证今天一定可以发出哦""', '问题：""漏了一包"", 答案：""亲，可能是快递运输过程中挤压导致的哈，不影响食用的哦""', '问题：""我这边是8包哟"", 答案：""您需要退回几包几申请退回几包的价格哈""', '问题：""500克几包"", 答案：""亲 一袋500g哦""']",,很高兴为您服务，请问有什么可以帮您？,2024-04-16 19:32:58,"12,18",小白帆布鞋2023年新款,待发货,退款成功
31,32,我需要半包,"[{""role"":""user"",""content"":""1""},{""role"":""assistant"",""content"":""1仍然557891011""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲111""},{""role"":""user"",""content"":""怎么买？""},{""role"":""assistant"",""content"":""拍随意搭配的""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""我要买多少？""},{""role"":""assistant"",""content"":""亲 您需要多少呢""},{""role"":""user"",""content"":""我需要半包""}]","['问题：""一包"", 答案：""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""', '问题：""2包。我是想拿小包的先试试"", 答案：""好的""', '问题：""一大包"", 答案：""亲，这边帮您联系快递核重，您稍等""', '问题：""多少包"", 答案：""根据选项看下哦""', '问题：""可是我这包只有50g"", 答案：""亲 您一共收到几袋""', '问题：""有一包漏了"", 答案：""亲，可能是打包的时候挤压导致的，不影响食用的哦。这边给您申请2元的补偿可以吗。""', '问题：""可以加急吗就一包"", 答案：""亲 这边会催下仓库 不能保证今天一定可以发出哦""', '问题：""漏了一包"", 答案：""亲，可能是快递运输过程中挤压导致的哈，不影响食用的哦""', '问题：""我这边是8包哟"", 答案：""您需要退回几包几申请退回几包的价格哈""', '问题：""500克几包"", 答案：""亲 一袋500g哦""']",亲 不支持半包购买哦,亲 不支持半包购买哦,2024-04-16 18:19:41,"12,18",小白帆布鞋2023年新款,待发货,退款成功
32,33,我要买多少？,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲""},{""role"":""user"",""content"":""1""},{""role"":""assistant"",""content"":""1仍然557891011""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲111""},{""role"":""user"",""content"":""怎么买？""},{""role"":""assistant"",""content"":""拍随意搭配的""},{""role"":""user"",""content"":""好的亲""},{""role"":""assistant"",""content"":""嗯嗯""},{""role"":""user"",""content"":""我要买多少？""}]","['问题：""放多少？"", 答案：""热水冲泡搅拌溶解就可以哈""', '问题：""是多少钱来着？"", 答案：""亲 您收到几袋""', '问题：""多少钱"", 答案：""亲 稍等 这边问下哦""', '问题：""我买50克有什么用？"", 答案：""亲选项是的哦自己选择的哈""', '问题：""长期拿，有优惠吗？"", 答案：""亲 需要多少""', '问题：""买多有优惠吗"", 答案：""亲 需要多少""', '问题：""她们问我多少钱买的"", 答案：""好的亲""', '问题：""我购买的有点多了"", 答案：""亲亲，有什么可以帮您呢""', '问题：""一罐多少？"", 答案：""1罐500g亲""', '问题：""多少包"", 答案：""根据选项看下哦""']",亲 您需要多少呢,亲 您需要多少呢,2024-04-16 18:17:10,"12,18",小白帆布鞋2023年新款,待发货,退款成功
33,34,好的亲,"[{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲""},{""role"":""user"",""content"":""1""},{""role"":""assistant"",""content"":""1仍然557891011""},{""role"":""user"",""content"":""你好呢""},{""role"":""assistant"",""content"":""你好呢亲111""},{""role"":""user"",""content"":""怎么买？""},{""role"":""assistant"",""content"":""拍随意搭配的""},{""role"":""user"",""content"":""好的亲""}]","['问题：""我又买了包装好点"", 答案：""好的 亲""', '问题：""已经下单了"", 答案：""好的亲""', '问题：""好"", 答案：""好的亲""', '问题：""你这要是好，我会长期回购"", 答案：""好的 亲""', '问题：""那我放到柜子里，多少我不管。"", 答案：""好的 亲""', '问题：""402570424@qq.com"", 答案：""好的 亲""', '问题：""下单了"", 答案：""好的亲""', '问题：""好了，谢谢，"", 答案：""好的亲""', '问题：""[擦汗][擦汗]等一下我整理一下，他这一包是五百克吗？我整理一下，完了之后呃那个啥，我再看哪些要换。"", 答案：""好的亲""', '问题：""9858662412709快递单号"", 答案：""好的亲""']",嗯嗯,嗯嗯,2024-04-16 18:16:53,"12,18",小白帆布鞋2023年新款,待发货,退款成功
