q,que,kb_ids,new_refer,actual_send_answer,qwl02-cleaned-base,qwl02-cleaned-base-gpt35,qwl02-cleaned-chat,qwl02-cleaned-chat-gpt35,qwl02-cleaneddoc3,qwl02-cleaneddoc3-gpt35,qwl02-cleaneddoc8,qwl02-cleaneddoc8-gpt35,qwl02-cleandoc8-base,qwl02-cleandoc8-base_gpt35,qwl02-cleandoc8-base-pip3,qwl02-cleandoc8-base-pip3_gpt35,yil02-cleandoc-base,yil02-cleandoc-Chat-34B,yil02-cleandoc-Chat-34B_gpt35,qwl02,qwl02_gpt35,qwl02-cleaneddoc8-32b-base,qwl02-cleaneddoc8-32b-base_gpt35,qwl02-cleaneddoc8-32b-base-new,qwl02-cleaneddoc13-32b-base,qwl02-cleaneddoc18-32b-base,qwl02-cleaneddoc18-32b-base-cp12000,qwl02-cleaneddoc18-32b-base-cp15000,qwl02-cleaneddoc18-32b-base-cp18000
"你好,比例多少？","[{""role"":""user"",""content"":""你好,比例多少？""}]","15, 18","['问题：""你好,比例多少？"",答案：""亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例""','问题：""我是水煮的,但是没有成型"",答案：""亲,比例是多少呢""','问题：""比例多少"",答案：""1:6的亲""','问题：""你这个比例是多少？"",答案：""亲,这个布丁粉的比例可以根据个人口味进行调整,一般建议是1:6的比例。""','问题：""比例是多少的"",答案：""1:6的""']","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。",1,"已备注亲。根据个人口味哈亲。根据个人口味哈亲。下单48小时内发货的亲。
感谢您的添加白面哦。","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例.",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。",1,"亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。","亲,比例可以根据自己的口味来调整哦,一般建议1:6的比例。"
"亲可不可以送我一个杯子,我买给老年人喝,我已经下单了","[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""亲可不可以送我一个杯子,我买给老年人喝,我已经下单了""}]","45, 18","['问题：""亲可不可以送我一个杯子,我买给老年人喝,我已经下单了"",答案：""根据选项下单哈亲。没有标注就不送的""','问题：""这单送杯子和勺子吗我已下单了"",答案：""亲,商品生产流程严格监督,发货前都有检查 您放心拍哈""','问题：""你看。你们的商品咋这么不行啊？补两元钱,我有杯子使吗？我也没有别的用啊。"",答案：""杯子是赠品亲""','问题：""可以给我送个玻璃杯吗我这是第二次买了"",答案：""亲亲,根据选项下单哈亲。没有标注就不送的哦~""','问题：""就奔着送杯勺才买的呢,不送怎么喝"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""']",根据选项下单哈亲。没有标注就不送的,亲，根据选项下单哈亲。没有标注就不送的哦~,1,亲亲，根据选项下单哈亲。没有标注就不送的哦~,1,"亲亲,根据选项下单哈亲。没有标注就不送的哦~",1,"亲亲,根据选项下单哈亲。没有标注就不送的哦~",1,亲亲，根据选项下单哈亲。没有标注就不送的哦~,1,根据选项下单哈亲。没有标注就不送的,1,"好的亲。已备注哈。
亲 可以参考下哦 尽快安排哈，我们会尽快发货的哈亲。祝您购物愉快！祝您购物愉快！",亲，根据选项下单哈亲。没有标注就不送的,1,亲，根据选项下单哈。没有标注就不送的哦~,1,根据选项下单哈亲。没有标注就不送的,1,根据选项下单哈亲。没有标注就不送的,亲，根据选项下单哈亲。没有标注就不送的哦~,亲，根据选项下单哈亲。没有标注就不送的哦~,根据选项下单哈亲。没有标注就不送的,"亲,根据选项下单哈亲。没有标注就不送的哦~",亲，根据选项下单哈亲。没有标注就不送的哦~
你好送不送杯子啊,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""你好送不送杯子啊""}]","18, 9","['问题：""你好老板不知道有没有送杯子"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""','问题：""送好点的杯子,�"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""','问题：""30.65的链接送杯子吗有人吗你好"",答案：""很高兴为您服务,请问有什么可以帮您？""','问题：""你看。你们的商品咋这么不行啊？补两元钱,我有杯子使吗？我也没有别的用啊。"",答案：""杯子是赠品亲""','问题：""你们都不送勺子�的吗？也没有杯子"",答案：""看选项哦亲,选项上面有写的就送,没有写的就不送哦""']","亲亲,根据选项下单,有标注就送哈","看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦~,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦",1,"看选项哦亲,选项上面有写的就送,没有写的就不送哦","看选项哦亲,选项上面有写的就送,没有写的就不送哦",看选项哦亲，选项上面有写的就送，没有写的就不送哦,看选项哦亲，选项上面有写的就送，没有写的就不送哦。,亲，看选项哦亲，选项上面有写的就送，没有写的就不送哦,看选项哦亲，选项上面有写的就送，没有写的就不送哦
"我已拼单成功,能尽快帮我发货吗？你这个是一斤一装的吗？一袋用什么罐子装的？","[{""role"":""user"",""content"":""我已拼单成功,能尽快帮我发货吗？""},{""role"":""user"",""content"":""你这个是一斤一装的吗？""},{""role"":""user"",""content"":""我已拼单成功,能尽快帮我发货吗？你这个是一斤一装的吗？一袋用什么罐子装的？""}]",18,"['问题：""我已拼单成功,能尽快帮我发货吗？是5斤吗"",答案：""对的亲""','问题：""我已拼单成功,能尽快帮我发货吗？要快哦亲[亲亲]"",答案：""亲亲,下单48小时内发货哦~""','问题：""我已拼单成功,能尽快帮我发货吗？好的�"",答案：""亲亲,下单48小时内发货哦~""','问题：""我已拼单成功,能尽快帮我发货吗？赶紧发货吧"",答案：""亲亲,下单48小时内发货哦~""','问题：""我已拼单成功,能尽快帮我发货吗？尽快安排发货我急用"",答案：""亲亲,下单48小时内发货哦~""']","精选小麦胚芽,袋装是500g一袋,桶装是400g一桶,罐装是300g一罐。",精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,好的亲。具体以仓库发出为准哈亲。,灌装300g的,0,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,1,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。,灌装500g，袋装500g，桶装400g，罐装300g，袋装300g,袋装500g 桶装400g 灌装300g 您根据选项拍的,精选小麦胚芽，袋装是500g一袋，桶装是400g一桶，罐装是300g一罐。
今天拍什么时候发货,"[{""role"":""user"",""content"":""我今天拍,明天能发货吗""},{""role"":""user"",""content"":""没有具体时间吗""},{""role"":""assistant"",""content"":""亲,现在订单量比较大暂时确定不了具体时间哈。""},{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""今天拍什么时候发货""}]","45, 18","['问题：""啥时候发货？我都拍了好几天了"",答案：""亲 您之前申请了退款 这边已经拦截 无法继续发出 需要的话 可以申请退款重拍。""','问题：""什么时间发货"",答案：""下单48小时内发货亲""','问题：""什么时候发货？"",答案：""48小时发货""','问题：""什么时候发货"",答案：""亲亲,正常48小时内发货呢""','问题：""我下单了,什么时候发货呢明天发货"",答案：""亲亲,正常48小时内发货呢~""']","亲亲,已经在陆续发货了,会尽快安排的哈",亲亲，今天拍的话，我们会在48小时内发货哦~,1,这个暂时确定不了哈亲,0,这个暂时确定不了哈,0,这个暂时确定不了哈亲,0,这个暂时确定不了哈亲,0,"亲,今天下单的话,我们会在48小时内发货哦~",1,亲，下单48小时内发货哦~,这个暂时确定不了哈,0,这个暂时确定不了哈亲,0,亲亲，正常48小时内发货呢~,1,亲亲，正常48小时内发货呢~,"亲亲,今天拍的话，48小时内发货哦。","亲亲,今天下单的话，48小时内会发货哦~",保证不了哈亲,亲亲，今天下单的话，48小时内会发货哦~,"亲亲,今天下单的话，48小时内会发货哦~"
要香芋 和草莓的,"[{""role"":""user"",""content"":""要香芋 和草莓的""}]",18,"['问题：""要香芋 和草莓的"",答案：""已备注亲""','问题：""要香芋,草莓"",答案：""已备注""','问题：""我先要一个香芋一个草莓"",答案：""亲 您拍的这个选项不支持备注 可以拍随意搭配的选项""','问题：""我要的,草莓 芒果 抹茶 香芋"",答案：""亲亲发错的那包您申请换货您看可以吗""','问题：""我要芒果、草莓香芋味的"",答案：""只要三种？""']",已备注亲,亲，已备注哦~,1,已备注亲,1,已备注亲,1,亲，已备注哦~,1,亲 已备注,1,亲，已备注您需要的口味哦~,1,好的亲。已备注哦~,亲 已备注,1,已备注亲,1,亲，已备注哦~,1,亲，已备注哦~,亲，已备注哦~,亲亲，已备注亲~,亲 已备注,亲亲，已备注亲。,亲亲，已备注哦~
泡开了直接放冰箱吗？,"[{""role"":""user"",""content"":""你这个仙草粉直接开水泡可以吗？""},{""role"":""user"",""content"":""不用煮""},{""role"":""assistant"",""content"":""亲,这个仙草粉可以直接用开水泡,不需要煮哦。""},{""role"":""user"",""content"":""要泡多久呢？""},{""role"":""user"",""content"":""泡水的比例多少？""},{""role"":""assistant"",""content"":""搅拌均匀就可以亲100个粉：600g水""},{""role"":""user"",""content"":""泡开了直接放冰箱吗？""}]","4, 18","['问题：""泡开了直接放冰箱吗？"",答案：""自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。""','问题：""是不是煮好就放冰箱？还是冷了才放冰"",答案：""亲亲,建议冷了以后放冰箱哈""','问题：""做好用放在冰箱么"",答案：""冰箱能储存3-5天,需要盖上保鲜膜冷藏储存,尽量新鲜食用,不宜长时间保存。""','问题：""为什么中午做好了,下午就出水了"",答案：""亲是放冰箱的吗""','问题：""我放冷冻了。可以吗"",答案：""保鲜就可以哈""']","自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。","亲亲，自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。",1,可以的,1,可以的,1,"亲亲,自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。",1,"亲亲,建议冷了以后放冰箱哈。",0,"亲亲,建议冷了以后放冰箱哈~",0,冷藏保鲜一年左右的亲 用水泡过的直接冷藏保鲜就可以哦。,亲亲，建议冷了以后放冰箱哈,0,"亲亲,自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。",1,"亲亲，自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。",1,"亲亲，自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。","自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。","亲亲,自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。","亲亲，自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。","亲亲,自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。","亲亲,自制烧仙草可以放冰箱冷藏保存2-3天,不过建议是吃多少煮多少,保存时间太长影响口感。"
这个一斤粉用250的杯子可以做多少杯？,"[{""role"":""user"",""content"":""我已经拼单成功1天,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲,下单48小时内发货亲。""},{""role"":""user"",""content"":""这个一斤粉用250的杯子可以做多少杯？""}]",18,"['问题：""这个一斤粉用250的杯子可以做多少杯？"",答案：""建议比例100g粉：600g水,根据您的比例搭配哈""','问题：""一斤 250毫升杯,大概可以做多少杯"",答案：""具体要根据您的使用量和制作方式而定 没有具体参数""','问题：""250毫升的杯,能做多少杯？"",答案：""具体要根据您的使用量和制作方式而定 没有具体参数""','问题：""一斤大概能做多少杯？300毫升的杯子,"",答案：""亲,一斤粉用250的杯子可以做10杯左右哦~""','问题：""100克的粉多少杯呀"",答案：""亲,按照比例制作就好。粉水比例1:6搭配哈""']","建议比例100g粉：600g水,根据您的比例搭配哈",亲，建议比例100g粉：600g水，根据您的比例搭配哈。,1,"建议比例100g粉：600g水,根据您的比例搭配哈",1,亲，建议比例100g粉：600g水，根据您的比例搭配哈。,1,亲，这个一斤粉用250的杯子可以做10杯左右哦~,0,亲，建议比例100g粉：600g水，根据您的比例搭配哈~,1,"亲，建议比例100g粉：600g水,根据您的比例搭配哈。",1,"亲，一罐300g哦~具体会有教程，100g一袋，桶装是300g一桶，罐装是300g一桶，罐装是300g一桶，罐装是300g一桶，罐装是300g一桶，罐装是300g一桶，罐装是300g一桶，罐装是400g一桶，罐装是300g一罐。
亲，一罐500g哦。具体有标100",亲，这个一斤粉用250的杯子可以做10杯左右哦~,0,"亲，建议比例100g粉：600g水,根据您的比例搭配哈。",1,"亲,一斤粉用250的杯子可以做10杯左右哦~",0,"亲，按照比例制作就好。
粉水比例1:6搭配哈~","亲，建议比例100g粉：600g水,根据您的比例搭配哈~",亲，一斤粉用250的杯子可以做10杯左右哦~,"亲，建议比例100g粉：600g水,根据您的比例搭配哈。",亲，一斤粉用250的杯子可以做10杯左右哦~,亲，一斤粉用250的杯子可以做10杯左右哦~
可以备注邮政吗,"[{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲,发中通、极兔、邮政快递,仓库会选择适合您地区的快递发出呢。""},{""role"":""user"",""content"":""可以备注邮政吗""}]","3, 18","['问题：""可以备注邮政吗？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""可以备注快递吗？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""可以备注中通吗？"",答案：""极兔、中通、邮政,不指定快递,仓库随机发""','问题：""为啥我的是邮政显示"",答案：""咱们极兔发出,中转仓是邮政转寄的""','问题：""请问发的啥快递？就你发的这个啥快递？"",答案：""邮政""']","极兔 中通,邮政,不指定快递,仓库随机发的亲",亲，可以备注邮政哦，但是不指定快递，仓库随机发货呢。,1,亲，可以备注邮政哦，仓库会根据您所在地区选择适合的快递发出呢。,1,"亲,不支持指定哈",0,亲，我们不支持指定快递哦，我们会选择适合您地区的快递发出呢。,0,"极兔、中通、邮政,不指定快递,仓库随机发的亲",1,"亲，可以备注邮政哦，极兔、中通、邮政,不指定快递,仓库随机发的。",1,"亲，发中通、极兔、邮政快递，仓库会选择适合您地区的快递发出呢。
不支持指定快递哦。您看下哈。
不支持指定哈亲。您看下哈。您看下哈亲。您看下哈。您看下哈亲。您看下哈。亲。有专人处理的哈亲。有专人处理的哈亲。有专人处理的哈亲。
不支持指定快递公司哦。您看下哈。您看下哈亲。您看下哈。您看下哈亲。您看下哈。您看为了给您补偿",亲，可以备注邮政哦，仓库会根据您所在地区选择适合的快递发出呢。,1,"极兔、中通、邮政,不指定快递,仓库随机发的亲",1,"极兔、中通、邮政,不指定快递,仓库随机发",1,亲，可以备注邮政哦，仓库会根据您的需求选择适合您地区的快递发出呢。,"亲,可以备注邮政快递,仓库会选择适合您地区的快递发出呢。","亲,不指定快递哈","亲,不指定快递哈","亲,不指定快递哈","亲,不指定快递哈"
这款有奶香味没,"[{""role"":""user"",""content"":""这款有奶香味没""}]","15, 18","['问题：""不对好像没有奶香味"",答案：""亲,没有添加剂的哈正常就是这样的哈。""','问题：""下单了要牛奶味的"",答案：""只要牛奶的吗""','问题：""牛奶味有奶香味吗？"",答案：""每个人口感不一样哈""','问题：""我想买芒果味的送奶味的行吗"",答案：""亲 可以拍随意搭配的选项""','问题：""别人买的怎么没有奶味啊？"",答案：""亲亲,每个人的口味都是不一样的哦""']",根据选项下单哈。选项中没有就是没有哈,亲亲，这款牛奶味的布丁粉有奶香味哦。,0,亲亲，我们的产品没有添加剂，所以没有特别明显的奶香味哦。,0,亲亲，没有添加剂哈，所以没有明显的奶香味哦。,0,亲亲，这款没有添加剂的哈，正常就是这样的哈。,0,亲亲，这款没有奶香味哦，但是口感很好哦。,0,亲亲，没有添加剂的哈，正常就是这样的哈。,0,亲，我们的商品都是近期生产的，具体的生产日期可以在商品上查看哦。祝您放心购买。祝您补偿2元可以吗。亲。,亲亲，这款没有奶香味哦~,0,亲亲，没有添加剂的哈，正常就是这样的哈。,0,亲亲，这款没有添加剂的哈，正常就是这样的哈。,0,亲亲，每个人口感不一样的哈,亲亲，这款没有奶香味哦，但是口感很好，您可以试试看哦。,"亲亲,这款有奶香味哦~",亲，这款有奶香味哦~,"亲亲,这款有奶香味哦~","亲亲,这款有奶香味哦~"
两罐大约4斤多,"[{""role"":""user"",""content"":""親,请您告诉清楚两大罐昰多少重。我前期一直吃。拼多多还优惠我。始拼照顾。""},{""role"":""assistant"",""content"":""亲,两大罐的重量是700g哦。""},{""role"":""user"",""content"":""請退货退款吧我要多的Ⅰ9元""},{""role"":""assistant"",""content"":""亲,可以申请退货退款哦。""},{""role"":""user"",""content"":""请退款""},{""role"":""assistant"",""content"":""亲,可以申请退款哦。""},{""role"":""user"",""content"":""我另订""},{""role"":""assistant"",""content"":""亲。不需要的订单申请退款就可以哈""},{""role"":""user"",""content"":""对不起,我一直订此货。两只Ⅰ9,9很好谢谢你""},{""role"":""assistant"",""content"":""不客气亲""},{""role"":""user"",""content"":""两罐大约4斤多""}]",18,"['问题：""两罐加一起都不到一斤"",答案：""亲,一罐350g哦。""','问题：""两罐多重"",答案：""亲,一罐500g哦。""','问题：""这是12罐吗"",答案：""3罐,一罐500g哈""','问题：""每罐少55克左右,共5罐,"",答案：""亲 一罐500g""','问题：""买的时候 以为两大罐是 一千四百克"",答案：""亲,两罐一共700g哦。一罐350g哦""']","澳洲进口燕麦350g1罐哦,亲。",亲，两罐一共700g哦。,0,亲，一罐500g哦。,0,亲，两罐一共700g哦。,0,亲，一罐500g哦。,0,亲，一罐500g哦。,0,亲，一罐500g哦。,0,亲，一罐300g哦。具体都是一样的哈亲。具体以快递时效为准哈亲。您看下哈亲。您看下哈。亲。,亲，两罐大约4斤多哦~,0,亲，一罐500g哦。,0,亲，两罐一共700g哦。一罐350g哦。,0,亲，两罐一共700g哦。一罐350g哦。,亲，两罐一共700g哦。,亲，两罐的重量是700g哦。,亲，两罐大约4斤多哦。,亲，两罐的重量是700g哦。,亲，两罐的重量是700g哦。
5oo克兑800克开水是吗,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""一袋是多少克""},{""role"":""assistant"",""content"":""亲,一袋的重量是500g哦~""},{""role"":""user"",""content"":""5oo克兑800克开水是吗""}]","18, 7","['问题：""5oo克兑800克开水是吗"",答案：""100g：600g水""','问题：""500克用3000克水吗"",答案：""亲亲,是的哈""','问题：""不是要八百克水一百克粉吗"",答案：""亲 可以根据比例调整 不是固定到哦哦""','问题：""六百克水吗"",答案：""100g粉600g水""','问题：""比例？500克冲多少水？"",答案：""参考图片步骤看下""']",100g：600g水,亲亲，是的哈~,0,100g：600g水,1,100g：600g水,1,100g：600g水,1,亲亲，500g粉800g水哦。,0,亲亲，500g粉600g水哦。,0,"亲，一罐300g哦~。具体有教程，会有误差，没有写的就不送哦。
感谢您的添加冰箱哦。",100g：600g水,1,100g：600g水,1,100g粉600g水,0,100g：600g水,100g：600g水,100g：600g水,100g：600g水,100g：600g水,100g：600g水
哦好的,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""一袋是多少克""},{""role"":""assistant"",""content"":""亲,一袋的重量是500g哦~""},{""role"":""user"",""content"":""5oo克兑800克开水是吗""},{""role"":""assistant"",""content"":""100g：600g水参考比例,可以少做一些,适当调整""},{""role"":""user"",""content"":""哦好的""}]","18, 7","['问题：""哦哦好的"",答案：""好的亲�""','问题：""哦哦好吧"",答案：""好的亲""','问题：""好的��"",答案：""好的""','问题：""没时间取呢啥时候取回来再和你联系吧"",答案：""好的""','问题：""对对对[玫瑰][玫瑰][玫瑰]"",答案：""好的""']",嗯嗯,好的亲,1,嗯嗯,1,嗯嗯,1,好的亲,1,嗯嗯,1,嗯嗯,1,"好的亲，有什么可以的哦~我们会尽快的哈。
感谢您的支持发货的亲。我们会尽快安排的哈。
感谢您的支持的哈亲。我们会尽快发货的哈。
感谢您的支持的亲。我们会尽快安排发货的哈。
感谢您的支持的亲。我们会尽快安排发货的哈。
感谢您的支持的亲。我们会尽快安排发货的哈。
感谢您的支持哦。
感谢您的支持！亲。我们会尽快发货的哈。
感谢您的支持发货亲。我们会尽快安排发货的哈。
感谢您的支持发货亲。我们会尽快安排发货的",好的亲,1,好的亲,1,好的亲,1,嗯嗯,好的亲,嗯嗯,好的亲,嗯嗯,嗯嗯
就说这没用的,"[{""role"":""user"",""content"":""再不发退了""},{""role"":""assistant"",""content"":""亲亲,已经在陆续发货了,会尽快安排的哈""},{""role"":""user"",""content"":""还想着星期一用呢""},{""role"":""user"",""content"":""还不发货""},{""role"":""user"",""content"":""是没货嘛""},{""role"":""user"",""content"":""早说我就买别家了""},{""role"":""assistant"",""content"":""亲亲,已经在陆续发货了,春节期间积压订单比较多哈亲""},{""role"":""user"",""content"":""就说这没用的""}]",18,"['问题：""没用"",答案：""抱歉哈亲咱这没有这个活动哈""','问题：""反正也没用"",答案：""您确认收货后与我们联系""','问题：""吃饭为了不饿,吃这个是什么作用"",答案：""亲 没有什么作用""','问题：""用不到"",答案：""实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退包邮退的哈。""','问题：""<商品成分>有无致敏源？"",答案：""无""']","如果着急使用也是可以申请退款哈亲,确实抱歉给您带来不便了",亲，这个没有用哈,0,保证质量的哈亲,0,亲 具体的可以看下评论区,0,亲 您确认收货后与我们联系,0,会尽快的哈,0,"亲亲,已经在陆续发货了,会尽快安排的哈",0,好的亲。您这边帮您申请下哈可以申请退货退款哈亲。您看下哈。您看下哈。您看下哈亲。您看为了给您有个好的购物体验，给您补偿2元可以吗。亲。质量鼓励一下，祝您有个好的购物体验，给您补偿2元可以吗。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。亲理解，这边联系我们哈亲。您看为了给您有个好的购物体验，给您补偿2元可以吗。,亲 您如果不想等了的话 可以申请退款,0,"实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退包邮退的哈。",0,亲。咱们产品是纯黄瓜籽粉，可以参考配料表哈,0,亲亲，这个是小麦胚芽哈,亲 没有明白您的意思,"实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退包邮退的哈。",亲 您拍的这个选项不送杯子哦,亲 您没用过怎么知道没用,"实在抱歉给您带来不好的体验,如果您实在不满意的话您可以申请退货退款,商品退包邮退的哈。"
[谢谢],"[{""role"":""user"",""content"":""[咨询商品规格]""},{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""是几罐？一罐有多重？""},{""role"":""assistant"",""content"":""一罐1000g亲、""},{""role"":""user"",""content"":""熟的和生的有什么区别？""},{""role"":""assistant"",""content"":""亲,熟的和生的口感和气味不一样哦~""},{""role"":""assistant"",""content"":""低温烘焙的小麦胚芽亲""},{""role"":""user"",""content"":""哪个营养价值更高？""},{""role"":""assistant"",""content"":""亲,我们的商品都是优质产品,营养价值都很高哦~""},{""role"":""user"",""content"":""[谢谢]""}]",18,"['问题：""[谢谢]"",答案：""不客气""','问题：""[谢谢]"",答案：""好的亲�""','问题：""[谢谢]"",答案：""客气了""','问题：""[谢谢]"",答案：""感谢支持""']",不客气的亲,亲，不客气哦~,1,亲，不客气哦~有任何问题随时联系我们哦~,1,"亲,不客气哦~",1,客气了亲,1,客气了,1,亲，不客气哦~,1,"好的亲。已备注哈。亲。会尽快安排的哈亲。我们会尽快安排的哈。感谢您的支持发货的哈亲。我们会尽快发货的哈亲。
感谢您的支持发货的亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排发货的哈亲。我们会尽快安排的哈。感谢您的支持发货",亲，不客气哦~,1,客气了,1,不客气,1,"不客气,亲~",不客气,"亲,不客气哦~",好的亲,不客气,"亲,不客气哦~"
