q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
有双皮奶粉吗,"[{""role"":""user"",""content"":""草莓，芒果味""},{""role"":""user"",""content"":""已下单""},{""role"":""assistant"",""content"":""亲，已备注哦~""},{""role"":""user"",""content"":""有双皮奶粉吗""}]",亲 没有的哦,根据订单需要下单，亲,18,"['问题：""请问双皮奶那样了还能吃吗？"", 答案：""你好具体什么问题呢亲""', '问题：""芒果加双皮奶可以吗"", 答案：""亲 已备注""', '问题：""布丁的做法和双皮奶有什么区别"", 答案：""亲 参考下哦""', '问题：""双皮奶芒果"", 答案：""亲看您下了两个订单都是四斤的您都需要什么口味呢""', '问题：""这酸皮奶粉怎么倒出来有石子"", 答案：""亲 可能是材料的结块""', '问题：""加了奶粉一比一"", 答案：""搅拌需要用电动打蛋器搅拌十五分钟以上呢亲""', '问题：""说明说有奶粉和坚果吗？"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""需要加奶吗"", 答案：""亲亲，这个商品不需要加牛奶哦，但是您可以根据自己的口味添加一些牛奶，味道会更好哦~""']",,
[疑问][疑问]500克是一斤对吗[疑问],"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""一罐有多少""},{""role"":""assistant"",""content"":""亲，一罐的重量是500g哦~""},{""role"":""user"",""content"":""[疑问]""},{""role"":""user"",""content"":""500克是一斤对吗""},{""role"":""user"",""content"":""[疑问][疑问]500克是一斤对吗[疑问]""}]",亲，是的，500克是一斤哦~,亲，是的，500克是一斤哦~,"18,8","['问题：""500克的没把握，不知道要到多少"", 答案：""可以试下亲""', '问题：""不是缺斤少两的是吧，写500，装400克是吧[微笑]"", 答案：""亲亲，不是的哦，我们一罐500g的规格""', '问题：""一罐500克是净重吗[微笑]看着挺好的"", 答案：""亲，一罐500克哦""', '问题：""500克包含罐吧，罐除外是多少克。"", 答案：""不清楚哈""', '问题：""要500克那种的"", 答案：""是的亲需要拍60斤哈价格是410""', '问题：""1袋毛重499克，有点短斤少两。把称重照片发给你们看看！谢谢请回复"", 答案：""亲亲这种误差应该可以忽略不计的哦如果您实在是不满意的话可以申请退货退款哈。""', '问题：""3千克水是多少毫升？"", 答案：""不清楚哈亲建议称重哈""', '问题：""你好3.46的是500克吗"", 答案：""截图我看下亲""', '问题：""是500克的吗？"", 答案：""亲，是的，每桶500克哦~""', '问题：""在吗没有称怎么分比例"", 答案：""建议用称重器测量哈""']",,
在吗我买的是牛奶布丁粉，怎么发了抹茶,"[{""role"":""user"",""content"":""在吗我买的是牛奶布丁粉，怎么发了抹茶""}]",实在抱歉亲可能是仓库那边发错了,亲 拍照看下哦,18,"['问题：""发的咋不是抹茶味的"", 答案：""您拍下快递面单和收到的口味我看下""', '问题：""我要的是四个口味，怎么全部给我发成牛奶味？"", 答案：""实在抱歉亲可能是仓库那边发错了""', '问题：""亲   抹茶+牛奶已下单"", 答案：""已备注""', '问题：""在吗，我想问一下是分两个快递发过来的吗，我只拿到一个快递，今天才打开看，少了个草莓布丁粉"", 答案：""现在收到了几包亲，这边帮您核实""', '问题：""是换包装了吗？以前买的不是这个包装，之前下单的包装上直接写的抹茶布丁。"", 答案：""嗯嗯这是新包装哈亲""', '问题：""我多次购买你家的货了，想着换个口味，所以发了抹茶的"", 答案：""亲这边保证质量的哦""', '问题：""在吗客服布丁粉收到了，教程给我发一下。"", 答案：""亲 商品全收到了吗""', '问题：""为什么全是抹茶味的"", 答案：""拍照我看下亲""']",,
烧仙草苦吗,"[{""role"":""user"",""content"":""烧仙草苦吗""}]",亲亲，我们的烧仙草口感很好哦，不会苦的。,,18,"['问题：""100克烧仙草600克水做了两次了都不行"", 答案：""亲 可以少放些水 搅拌哦""', '问题：""那咋喝着苦呢"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""有苦味儿没"", 答案：""亲亲，我们的产品口感很好哦""', '问题：""苦呢是不是坏了"", 答案：""亲保证质量发出的哈""', '问题：""有苦味也不敢喝了"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""你好这种苦不"", 答案：""口感很好的哈""', '问题：""是否要烧"", 答案：""不需要""', '问题：""喝不了老苦了"", 答案：""如果不喜欢，可以在订单中申请退货退款哈亲""']",,
配料表,"[{""role"":""user"",""content"":""配料表""},{""role"":""user"",""content"":""配料表""}]",,亲 我们这边没有实物 您可以看下评论区哦,"18,10","['问题：""产品信息不一致！是啥原因？我该相信哪一个？"", 答案：""参考配料表亲""', '问题：""有配料表吗"", 答案：""亲，可以参考评论区，商品详情""', '问题：""配料表有么"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""请出示配料表"", 答案：""可以参考看下""', '问题：""能把配料表看看吗？"", 答案：""亲 我们暂时没有哈 可以参考下评论区""', '问题：""能发一下配料表吗"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""有配料表 图吗"", 答案：""亲 我们暂时没有哈 您可以参考下评论区""', '问题：""把你们的详细配料表发给我"", 答案：""亲商品上有哈""']",,
嗯在吗？那我买这个商品，这得用上那有的都压扁的了，那你这咋算呢？你这桶都压扁了。可以两元。扣我三十二块钱。我收到了，谢谢。,"[{""role"":""user"",""content"":""什么时候发货？""},{""role"":""assistant"",""content"":""亲，我们发的是极兔、中通、邮政，不指定快递，仓库随机发哦。下单48小时内发货亲""},{""role"":""user"",""content"":""那就发极兔吧。""},{""role"":""assistant"",""content"":""亲，不支持指定快递哦~""},{""role"":""user"",""content"":""那你们看吧，尽量别给我选一张邮政太慢，这我忙着急用呢，你给我发中通和极兔。""},{""role"":""user"",""content"":""发邮政太慢了，忙着急用，就等你发邮政到了，晚上不敢趟了。""},{""role"":""assistant"",""content"":""仓库随机发的哈""},{""role"":""user"",""content"":""啊麻烦你们尽量给快点发货来安排。""},{""role"":""assistant"",""content"":""亲，我们会尽快为您安排发货哦~""},{""role"":""user"",""content"":""嗯在吗？那我买这个商品，这得用上那有的都压扁的了，那你这咋算呢？你这桶都压扁了。可以两元。扣我三十二块钱。我收到了，谢谢。""}]",好的亲有专人处理的哈,,18,"['问题：""一桶两元吧！两桶四元"", 答案：""亲这边权限只能申请3元哈您看可以吗""', '问题：""我那个不是二十块零六角吗？你总价是三十块零六的优惠，十块都是二十块零六三，那个收我二十九块呀。"", 答案：""什么意思""', '问题：""重量是那么多，但是桶子没那么大呀，贵呀。退货你们又不包运费，我还出要出几块钱的运费，那花多少钱一桶啊？"", 答案：""亲这个和桶子多大没关系哈咱这一罐就是350""', '问题：""三袋没有一个达标的，缺斤少两你们对于缺斤少两都这么习以为长吗"", 答案：""给您补1元钱可以吗亲，称重器不同，咱们都是称重后发货哈""', '问题：""要么你就给我退货，要不然你就给我包运费。退运费要不你便宜便宜四块钱。"", 答案：""亲 我们是有退货包运费的哦""', '问题：""我刚拿到，一滴水都没放刚拆包拿出来它就是裂"", 答案：""亲，可能是快递运输过程中挤压导致的哈，这边给您2元补偿""', '问题：""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。这个是机器发的吗？"", 答案：""亲，确认收货以后联系我们帮您处理哈""', '问题：""你这个厂家怎么办的呀？这是三三袋九块九，我花了十九块九说这是给五袋的，你怎么给我三袋呢？你这这你怎么办的这事？"", 答案：""这是您的订单亲""']",,
颗粒那么硬和粗糙，吃下去能消化吗？煮一下是不是更好？,"[{""role"":""user"",""content"":""颗粒那么硬和粗糙，吃下去能消化吗？煮一下是不是更好？""}]",可以的亲,,18,"['问题：""不知道什么样的品质和口感是好的这个怎么吃"", 答案：""亲亲可以尝尝哈营养还是很丰富的""', '问题：""不好吃。里面还有面疙瘩在吗"", 答案：""亲，没有您的订单哈""', '问题：""太难吃了，而且很粗今天刚拿出来吃，味发苦，吃后难受，要求退货"", 答案：""亲 每个人的口感是不同的哦""', '问题：""亲，贷已到，闻着有点奶味，吃着有点苦，还太粗了，吃着不细腻"", 答案：""亲，我们这款产品是纯天然的，口感上可能会有一些差异""', '问题：""这个要和大米一起洗吗要不要洗后煮"", 答案：""不需要哈""', '问题：""泡了一回有股味。不好吃。"", 答案：""没有你的订单""', '问题：""啊这就太硬了怎么试先把水煮开倒进去还是先加热融化再到水"", 答案：""都可以哈只要能重新溶解就可以""', '问题：""口感不好有味"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""']",,
在吗？不是送玻璃杯和勺吗？怎么没有看上图我就拍的这种啊有运费险吗？喝着不对口味是不爱喝我想退货我拆开了一盒能行吗？尝尝味道不好喝,"[{""role"":""user"",""content"":""在吗？不是送玻璃杯和勺吗？怎么没有看上图我就拍的这种啊有运费险吗？喝着不对口味是不爱喝我想退货我拆开了一盒能行吗？尝尝味道不好喝""}]",亲 可以申请退货退款,,18,"['问题：""拆掉了两盒他们说不好喝，还有三盒没拆开，怎么退法的？"", 答案：""亲可以申请退没拆的哈""', '问题：""赠送个杯怎么一次性的呀跟我在别人家买的也不一样呀怎么还有膳味呢你们这质量也太差啦那个杯倒热水底就掉啦"", 答案：""亲 拍照看下哦""', '问题：""老板还是不行啊，做出来的奶盖好甜没有奶盖味能退吗有一包还没开的"", 答案：""好的 您申请退货退款""', '问题：""可以退货退款吗，家里老人喝不惯，说是有的酸开了一袋，老人说口感有点酸喝不惯"", 答案：""可以的亲。您申请退货退款，商品寄回有专人处理的哈""', '问题：""我买回来就打开一罐喝了，没喝过这个，还寻思就这样呢，后来别人过来看到这个，说是坏了，我今早打开这罐也这样的我就问问一直都放通风避光的地方了"", 答案：""应该是受潮了，在阴凉干燥处储藏哈亲""', '问题：""太不好，喝了一股苞米面的味。那不凶人吗？一样冲开水唧唧的。我不要了，我要退货。"", 答案：""亲亲，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""今早打开喝了，原来一直在喝，但是不是你家的产品，今早才打开你家的这个，你家的产品和别人家的不一样，"", 答案：""实在抱歉给您带来不好的体验，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""没法和别人的产品相比我是喝过的我已打开这桶了那两桶申请退了，没人想喝了"", 答案：""亲 可以的哦""']",,
知道了谢谢,"[{""role"":""user"",""content"":""一袋是净重500克哟""},{""role"":""assistant"",""content"":""亲，一袋是净重500克哟~""},{""role"":""user"",""content"":""套餐一和二有什么区别，一个13.66一个14.66元""},{""role"":""assistant"",""content"":""亲 稍等帮您看下哦亲，只是活动价格不一样，商品都是一样的哦""},{""role"":""user"",""content"":""营养成分能发一下吗""},{""role"":""assistant"",""content"":""亲，客服这边暂时没有哈可以参考商品详情或者评论区看下哈""},{""role"":""user"",""content"":""知道了谢谢""}]",客气了亲,客气了亲,18,"['问题：""谢谢了"", 答案：""不客气亲，后续有专员确认给您地址，您耐心等待下哈""', '问题：""哦知道了"", 答案：""好的亲🌹""', '问题：""谢谢"", 答案：""客气了亲""', '问题：""谢谢"", 答案：""不客气亲""', '问题：""谢谢"", 答案：""不客气哈亲""', '问题：""好的谢谢了"", 答案：""好的亲申请以后记得联系我拦截哈""', '问题：""好谢谢"", 答案：""感谢理解亲""', '问题：""好的 谢谢"", 答案：""不客气""']",,
教程,"[{""role"":""user"",""content"":""教程""}]",亲 参考下哦,,18,"['问题：""怎么制作呢"", 答案：""有教程亲""', '问题：""有教程吗"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""有教程吗？"", 答案：""有的亲""', '问题：""那上面写的今日下单送小冰箱。"", 答案：""视频教程哈""', '问题：""有教程么请问"", 答案：""没有哈亲正常和面就可以哈""', '问题：""有视频教程"", 答案：""亲 可以按照给您发的图文教程哦""', '问题：""发教程视频"", 答案：""亲 参考下哦""', '问题：""这个有教程么"", 答案：""参考下亲""']",,
是纯真小麦胚芽吗？,"[{""role"":""user"",""content"":""是纯真小麦胚芽吗？""}]",亲亲，是的，我们卖的小麦胚芽是纯真的哦。,,18,"['问题：""这个是属粗粮吗？"", 答案：""小麦胚芽""', '问题：""在发的啥麦胚芽嘛？"", 答案：""你好 在的亲""', '问题：""这个小麦胚芽是不是麦肤，吃起滿口渣"", 答案：""亲亲，这个小麦胚芽不是麦肤哦""', '问题：""你好👋小麦胚芽是带油的吗"", 答案：""亲 不是的哦""', '问题：""是麦麸皮哪有胚芽"", 答案：""亲亲，咱家是小麦胚芽哦加工过的哈""', '问题：""我要的是小麦胚芽粉这是什么"", 答案：""亲快递单号拍照这边看下""', '问题：""你家根本不是小麦胚芽，纯粹是小麦麸子"", 答案：""支持退货退款的哈""']",,
怎么就是500我是1000,"[{""role"":""user"",""content"":""怎么就是500我是1000""}]",亲 您收到几个包裹,亲 一袋500g,18,"['问题：""这里怎么有1000的"", 答案：""那个1000g是两袋""', '问题：""没有五百在的吗"", 答案：""亲 袋装是500g""', '问题：""你们的说明，600跟100"", 答案：""是的亲重量比例哈""', '问题：""不行太少了"", 答案：""三元您看可以吗""', '问题：""是不是少了"", 答案：""亲 给您分3个包裹发出的 您收到几个""', '问题：""300多少钱"", 答案：""根据选项下单哦会显示价格""', '问题：""少了"", 答案：""亲 收到几个包裹""', '问题：""长期拿，有优惠吗？"", 答案：""亲 需要多少""']",,
芒果和草莓,"[{""role"":""user"",""content"":""芒果和草莓""}]",亲，已备注哦~,,18,"['问题：""芒果和草莓"", 答案：""亲，已备注""', '问题：""芒果和草莓芒果和草莓"", 答案：""亲 已备注""', '问题：""芒果和草莓。"", 答案：""亲 已备注""', '问题：""草莓和芒果谢谢"", 答案：""已备注""', '问题：""草莓和芒果草莓和芒果好的"", 答案：""亲，已帮您备注，亲。""', '问题：""草莓，芒果"", 答案：""亲 已备注""', '问题：""要芒果跟草莓"", 答案：""亲 已备注""', '问题：""芒果跟草莓的谢谢"", 答案：""亲，已帮您备注，亲。""']",,
如果真的没有罐上所说的原料，就不知是啥粉了！！！,"[{""role"":""user"",""content"":""消费者申请开启售后，请处理""},{""role"":""user"",""content"":""小罐者质量太差，吃不到红豆，薏米，等味，好像炒面粉都不如。能不能食用？""},{""role"":""user"",""content"":""咋不如大会罐的质量，真的不敢食用。""},{""role"":""assistant"",""content"":""亲亲咱家都是保证质量的哦""},{""role"":""user"",""content"":""如果真的没有罐上所说的原料，就不知是啥粉了！！！""}]",有的哦亲只是含量比较低,,18,"['问题：""您好！一罐是多少有其它添加吗？有没有糖"", 答案：""亲，一罐500，没有添加糖哦。商品本身会含有糖分""', '问题：""配料表有么"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""能发一下配料表吗"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""说明说有奶粉和坚果吗？"", 答案：""没有配料表说明的亲 可以拍下收到在包装上看下""', '问题：""图片和文字里哪里说了一罐是300克，都没有是故意的吧"", 答案：""亲，一罐300g哦。""', '问题：""买2罐的有送杯和勺吧哦问一下是什么材料的杯好的"", 答案：""好的""', '问题：""你们这是偷换概念吧，图片都是满满一罐，实物却变成只是大半罐"", 答案：""亲亲这个是按重量的哈不是满溢程度哦""', '问题：""没有什么太大的味道，就像正常的面粉一样。放在水里面它也还是白色的。你说是不是应该搭配点其他的粉会更好喝呢？"", 答案：""可以搅拌均匀试下亲""']",,
都发极兔吧我求求你,"[{""role"":""user"",""content"":""发极兔""},{""role"":""assistant"",""content"":""亲，不支持指定快递哦~""},{""role"":""user"",""content"":""好""},{""role"":""user"",""content"":""不支持""},{""role"":""assistant"",""content"":""好的亲""},{""role"":""user"",""content"":""我也不买了""},{""role"":""assistant"",""content"":""🌹""},{""role"":""user"",""content"":""都发极兔吧""},{""role"":""user"",""content"":""都发极兔吧我求求你""}]",,亲，不支持指定快递哦~,"18,10","['问题：""亲发极兔好的"", 答案：""不支持指定哈""', '问题：""你家发货就是极兔吗？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发极兔快递"", 答案：""不指定快递，仓库随机发哦。""', '问题：""发极兔快递"", 答案：""亲 不支持指定快递""', '问题：""我可以指定发极兔吗"", 答案：""亲，不支持指定快递哦""', '问题：""发极兔快递方便啊那你说发的哪里"", 答案：""亲，不支持指定快递哦~""', '问题：""不要发极兔可以吗我这边极兔好像倒闭了"", 答案：""没法指定哈亲""', '问题：""那给我发极兔快递吧可以吗？"", 答案：""亲，不指定快递""', '问题：""你们是什么快递？"", 答案：""极兔""', '问题：""梦麻烦帮我发极兔快递吗能"", 答案：""亲，不支持指定快递哦""']",,
