q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
一罐多少克？,"[{""role"":""user"",""content"":""一罐多少克？""}]",亲，一罐的重量是500g哦~,,18,"['问题：""一罐多少克？"", 答案：""亲，一罐的重量是500g哦~""', '问题：""一罐多少克？"", 答案：""哪款产品亲""', '问题：""1罐多少克？"", 答案：""下单价格为准哈""', '问题：""一罐多少克"", 答案：""亲，一罐的重量是300g哦~""', '问题：""一罐多少克"", 答案：""亲，一罐的重量是500g哦~""', '问题：""一罐多少克"", 答案：""亲 一罐350g""', '问题：""一罐多少克"", 答案：""这个是大罐1lg的可以看下选项哈""', '问题：""一罐多少克"", 答案：""500g亲""']",,
有货吗？什么时候发货？,"[{""role"":""user"",""content"":""客服  您好，不小心碰到了，麻烦帮我退货处理一下。""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""有货吗？""},{""role"":""user"",""content"":""有货吗？什么时候发货？""}]",,亲亲，我们是有货的，下单后48小时内发出哈~,18,"['问题：""有货吗？"", 答案：""亲亲，我们是有货的""', '问题：""有货吗？"", 答案：""能下单就是有货的哈""', '问题：""有货吗？"", 答案：""亲亲，我们是有货的，下单后48小时内发出哈""', '问题：""有货吗？有货吗？有货吗？"", 答案：""亲亲，我们是有货的，下单后48小时内发出哈~""', '问题：""是不是没货？"", 答案：""亲亲，我们是有货的""', '问题：""到货了吗？"", 答案：""亲 显示正在派送""', '问题：""我不买了有货吗？"", 答案：""有的亲""']",,
小麦坯芽多少克1罐,"[{""role"":""user"",""content"":""小麦坯芽多少克1罐""}]",亲，一罐的重量是500g哦~,,18,"['问题：""一罐多少克"", 答案：""亲，一罐的重量是300g哦~""', '问题：""一罐多少克"", 答案：""这个是大罐1lg的可以看下选项哈""', '问题：""一罐多少克"", 答案：""亲，一罐的重量是500g哦~""', '问题：""一罐多少克"", 答案：""500g亲""', '问题：""一罐多少克"", 答案：""亲 一罐350g""', '问题：""1罐多少克？"", 答案：""下单价格为准哈""', '问题：""一罐是多少克"", 答案：""亲，一罐的重量是500g哦~""', '问题：""1罐多少斤"", 答案：""哪款亲""']",,
有货吗？,"[{""role"":""user"",""content"":""客服  您好，不小心碰到了，麻烦帮我退货处理一下。""},{""role"":""user"",""content"":""发什么快递？""},{""role"":""assistant"",""content"":""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""},{""role"":""user"",""content"":""有货吗？""}]",亲亲，我们是有货的，下单后48小时内发出哈~,,18,"['问题：""有货吗？"", 答案：""亲亲，我们是有货的""', '问题：""有货吗？"", 答案：""能下单就是有货的哈""', '问题：""有货吗？"", 答案：""亲亲，我们是有货的，下单后48小时内发出哈""', '问题：""有货吗？有货吗？有货吗？"", 答案：""亲亲，我们是有货的，下单后48小时内发出哈~""', '问题：""是不是没货？"", 答案：""亲亲，我们是有货的""', '问题：""到货了吗？"", 答案：""亲 显示正在派送""', '问题：""我不买了有货吗？"", 答案：""有的亲""']",,
我买的是瓶装的，还送玻璃勺的。怎么是袋装的？还撒了。,"[{""role"":""user"",""content"":""我买的是瓶装的，还送玻璃勺的。怎么是袋装的？还撒了。""}]",亲您拍的选项是袋装的哦,,18,"['问题：""货己收到、怎么不是瓶子装、而是袋装呢？"", 答案：""亲您拍的选项是袋装的哦""', '问题：""我才收到12包。而且有一包还是漏的，都漏出来了呢"", 答案：""亲亲，抱歉哈，快递外包装有无破损呢""', '问题：""奥谢谢你我买的是袋子的，三袋，不是桶装的"", 答案：""袋装灌装质量都是一样的。只是包装不同哈亲""', '问题：""赠送个杯怎么一次性的呀跟我在别人家买的也不一样呀怎么还有膳味呢你们这质量也太差啦那个杯倒热水底就掉啦"", 答案：""亲 拍照看下哦""', '问题：""外包装没有，里面有5袋，就这一袋破了"", 答案：""好的哈亲亲，您看这边给您申请补偿可以吗""', '问题：""包装不一样"", 答案：""亲亲只是换了新包装哦质量都是一样的放心哈""', '问题：""我这快递收到了，光有杯没有勺呢？我邮的是三罐有勺和杯呀"", 答案：""亲 实在是抱歉呢 这个给您申请2元的补偿可以吗""', '问题：""我买的是三袋，打开了二袋"", 答案：""只能退一袋哦""']",,
发什么快递？,"[{""role"":""user"",""content"":""客服  您好，不小心碰到了，麻烦帮我退货处理一下。""},{""role"":""user"",""content"":""发什么快递？""}]",亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~,18,"['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递发什么快递？"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？怎么做"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""']",,
你不打出来，我自已怎么申请,"[{""role"":""user"",""content"":""退款""},{""role"":""user"",""content"":""你不打出来，我自已怎么申请""}]",亲，这个需要您自己申请哦。,,18,"['问题：""咋申请你给我整一下"", 答案：""亲，您可以先申请退货退款，然后填写退款原因和金额，提交申请即可。""', '问题：""消费者申请开启售后，请处理上次买的这个我还没用，我打算不做小吃上班了，把这个退了"", 答案：""自己申请哈亲""', '问题：""消费者申请开启售后，请处理退了退 退 "", 答案：""可以自己申请试下哦""', '问题：""消费者申请开启售后，请处理消费者申请开启售后，请处理一点烧香草的香味都没有，还有一包没有拆我要退掉"", 答案：""亲可以自己申请一下哈""', '问题：""退了吧您可帮消费者主动申请售后我要那两块钱干啥"", 答案：""亲可以自己申请一下哈""', '问题：""当时你给我退了三块钱，你现在再给我退十块钱，也就没事，你如果觉着不行，那咱们在这几个网上说吧，让大家来给评论评您可帮消费者主动申请售后"", 答案：""亲可以自己申请哈""', '问题：""你如果实在不给退的话，我也就不退，我把你的商品，拍照，说明原因，我在抖音，西瓜视频。今日头条网上，给你做做广告，你看可以吗？"", 答案：""可以自己申请哈""', '问题：""可以，从哪里能找到，退货退款呢？您可帮消费者主动申请售后"", 答案：""需要您自己申请哈""']",,
发什么快递？燕麦成分有蔗糖吗？,"[{""role"":""user"",""content"":""发什么快递？燕麦成分有蔗糖吗？""}]",亲，我们的燕麦成分没有蔗糖哦~,,"18,10","['问题：""发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发什么快递？发什么快递？好冲泡吗"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""请问一下糖尿病人能吃吗发什么快递？"", 答案：""亲，建议先咨询下医生哦~""', '问题：""发什么快递？你好配料表看一下"", 答案：""亲，我们发货使用的是极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？可以指定吗"", 答案：""亲，发极兔、中通、邮政，不指定快递，仓库随机发哦~""', '问题：""发什么快递？发什么快递？"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发什么快递？发什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""', '问题：""[发什么快递]"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""什么快递？"", 答案：""极兔、中通、邮政，不指定快递，仓库随机发""']",,
小麦胚芽已经收到，分量不够。,"[{""role"":""user"",""content"":""小麦胚芽已经收到，分量不够。""}]",发出都是足量的亲，不喜欢可以申请退货退款的哈亲~,,18,"['问题：""分量都不够。"", 答案：""发出都是足量的亲，不喜欢可以申请退货退款的哈亲""', '问题：""你家根本不是小麦胚芽，纯粹是小麦麸子"", 答案：""支持退货退款的哈""', '问题：""这个小麦胚芽是不是麦肤，吃起滿口渣"", 答案：""亲亲，这个小麦胚芽不是麦肤哦""', '问题：""买的小麦胚芽为什么给我发黄瓜籽？"", 答案：""您拍照咱看下亲""', '问题：""你看看都五了，有毒能吃吗？你看看那里头杂物，你看看我搁开水和锅煮的那个，哪个都飘着胚芽，能飘着吗？胚芽都衬底"", 答案：""亲，我们的产品是小麦胚芽，不是小麦麸子哦。""', '问题：""那点运费险也不够啊，我这是三斤的，买的小小。这是少卖胚芽。"", 答案：""亲 退货包运费具体以系统赔付为准""', '问题：""收到了.重量不够差太多了？"", 答案：""亲 袋装是每袋500g""']",,
连罐子一起是500,"[{""role"":""user"",""content"":""一桶净重是多少克""},{""role"":""user"",""content"":""净重""},{""role"":""user"",""content"":""连罐子一起是500""}]",亲亲，加上罐子是500克哦~,,"18,8","['问题：""这一罐是多少是一斤呢？"", 答案：""亲，一罐的重量是500哦~""', '问题：""一罐净重是多少克？"", 答案：""亲，一罐是500克哦~""', '问题：""一罐是500克吗？"", 答案：""是的亲""', '问题：""500克包含罐吧，罐除外是多少克。"", 答案：""不清楚哈""', '问题：""加铁罐500？"", 答案：""亲亲，加上罐子是500克哦~""', '问题：""是净重还是带罐500克"", 答案：""亲，一罐500克哦""', '问题：""一罐500克是净重吗[微笑]看着挺好的"", 答案：""亲，一罐500克哦""', '问题：""500克是净的还是带)罐共500克"", 答案：""亲亲，一罐总重量是500g""', '问题：""你好，我买的是700克，买一送一这怎么到的是350克一罐呢？平台已退出介入，您可继续聊天"", 答案：""两罐总共700哦""', '问题：""买了罐装准备买3罐15、24元的有6斤吗"", 答案：""罐装是1罐300g的""']",,
那本来就是破了的那袋儿。,"[{""role"":""user"",""content"":""退货吧！""},{""role"":""user"",""content"":""这吃不成""},{""role"":""user"",""content"":""那本来就是破了的那袋儿。""}]",亲，可能是快递运输过程中挤压导致的哈，不影响食用的哦,,18,"['问题：""破了一袋。"", 答案：""您看是申请退货退款重新下单还是给您补2元钱""', '问题：""破了一袋"", 答案：""抱歉亲 这边给您申请3元补偿 您看可以吗""', '问题：""破了一袋"", 答案：""亲，可能是快递运输过程中挤压导致的哈，不影响食用的哦""', '问题：""有一袋破了"", 答案：""亲 实在是抱歉呢 这个不影响您食用 给您申请2元的补偿可以吗。""', '问题：""有一袋子破了"", 答案：""亲 收到的时候包裹外包装有没有破损""', '问题：""有一袋破损了"", 答案：""您发下快递面单号给咱看下""', '问题：""还有一袋破洞了"", 答案：""可以等都收到之后看下亲""', '问题：""破了三袋"", 答案：""亲 快递外包装有没有破损""']",,
退货吧！,"[{""role"":""user"",""content"":""退货吧！""}]",亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。,,18,"['问题：""那退货吧"", 答案：""亲亲，如果您对收到的商品不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""退货"", 答案：""亲 申请下哦""', '问题：""退货"", 答案：""已拦截""', '问题：""退货"", 答案：""还没发货哦亲""', '问题：""退货"", 答案：""亲 发出都是严格检查的哦""', '问题：""那我退货吧"", 答案：""亲，可以的，您申请就可以哈""', '问题：""耶我退货吧？"", 答案：""亲，可以的，申请退货退款商品寄回有专人处理的哈""', '问题：""退货吧不要了"", 答案：""亲直接申请就可以哈""']",,
退款,"[{""role"":""user"",""content"":""退款""}]",亲，可以申请退货退款哦~,,18,"['问题：""退款"", 答案：""亲 可以申请退货退款哦""', '问题：""退款"", 答案：""亲，申请退款回有专人处理哈""', '问题：""退款"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""退款"", 答案：""亲，后续会有专员处理哈""', '问题：""退款"", 答案：""亲 会有专人处理哦""', '问题：""退货退款"", 答案：""亲亲，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""退货退款"", 答案：""亲 可以申请退货退款哦""', '问题：""申请退款"", 答案：""您拒收就可以哈这边联系退回了售后核实以后会处理的""']",,
好的谢谢,"[{""role"":""assistant"",""content"":""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""},{""role"":""user"",""content"":""亲：我给了五星好评""},{""role"":""user"",""content"":""亲：我拍了一单，何时发货呀""},{""role"":""assistant"",""content"":""亲亲，正常48小时内发货呢~""},{""role"":""user"",""content"":""好的谢谢""}]",好的亲,不客气的亲,18,"['问题：""好的 谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""好的亲🌹""', '问题：""好的谢谢"", 答案：""拍下随意搭配的选项后与我们联系""', '问题：""好的谢谢"", 答案：""感谢支持""', '问题：""好的谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""客气了亲""', '问题：""好的谢谢了"", 答案：""好的亲申请以后记得联系我拦截哈""']",,
还要不要放糖的,"[{""role"":""user"",""content"":""还要不要放糖的""},{""role"":""user"",""content"":""还要不要放糖的""}]",,亲 可以不用放 也可以根据您自己的口味添加,"18,7","['问题：""需要加糖吗？"", 答案：""可以根据口味适量加些亲""', '问题：""用加糖吗"", 答案：""亲 可以不用加糖哦""', '问题：""不用加糖吗"", 答案：""根据个人口味哈""', '问题：""请问这个是不是不用放糖了？"", 答案：""亲 可以不用放 也可以根据您自己的口味添加""', '问题：""需要自己加糖吗"", 答案：""可以根据自己口味哈""', '问题：""糖呢？加吗"", 答案：""亲亲，这个商品不需要加糖哦，您可以根据自己的口味添加一些糖""', '问题：""有没有加糖？"", 答案：""亲 没有哦""', '问题：""要不要放糖    有没有教程视频"", 答案：""亲，要不要放糖看个人口味哦，""']",,
亲：我拍了一单，何时发货呀,"[{""role"":""assistant"",""content"":""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""},{""role"":""user"",""content"":""亲：我给了五星好评""},{""role"":""user"",""content"":""亲：我拍了一单，何时发货呀""}]",亲亲，正常48小时内发货呢~,亲亲，正常48小时内发货呢~,18,"['问题：""啥时候发货？我都拍了好几天了"", 答案：""亲 您之前申请了退款 这边已经拦截 无法继续发出 需要的话 可以申请退款重拍。""', '问题：""我下单了，什么时候发货呢明天发货"", 答案：""亲亲，正常48小时内发货呢~""', '问题：""我已经下单了什么时候发货？"", 答案：""亲，下单48小时内发货哦~""', '问题：""我已拼单成功，能尽快帮我发货吗？什么时候发货今天不发货吗"", 答案：""亲，下单48小时内发货哦~""', '问题：""我已经拼单成功3小时，能尽快帮我发货吗？什么时候发货？"", 答案：""亲亲，正常48小时内发货呢。""', '问题：""什么时候发货？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""什么时候发货？"", 答案：""48小时发货""']",,
