q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
是正宗淮山吗？,"[{""role"":""user"",""content"":""我已拼单成功，能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲，下单48小时内发货哦~""},{""role"":""user"",""content"":""从哪里发货？""},{""role"":""assistant"",""content"":""亲亲，我们是在山东枣庄发货的哦。""},{""role"":""user"",""content"":""是正宗淮山吗？""}]",亲亲，是的哦，我们这款是正宗的淮山哦。,是的亲纯山药粉哈,18,"['问题：""是正宗的吗，有没有天加"", 答案：""亲，是正宗的，没有添加""', '问题：""是富硒的吗？"", 答案：""亲，参考包装硒含量哈""', '问题：""这个是属粗粮吗？"", 答案：""小麦胚芽""', '问题：""原味的吗"", 答案：""亲亲，我们这款是本身的甜味哦。""', '问题：""是正品吗是新鲜的吗"", 答案：""亲亲，我们的商品都是正品哦，质量有保证的。""', '问题：""是熟的吗？"", 答案：""亲，是的呢，我们的产品是熟的哦~""', '问题：""是纯的吗，新鲜吗，生产日期？"", 答案：""亲亲是纯的，生产日期都是近期的哦。""', '问题：""稠状的吗？"", 答案：""亲 可以的哦 建议少放些水""']",,
是无糖的吗,"[{""role"":""user"",""content"":""是无糖的吗""}]",无蔗糖的亲,无蔗糖的亲,18,"['问题：""是无糖的吗？"", 答案：""无蔗糖的亲""', '问题：""有无糖的吗"", 答案：""亲。商品零添加蔗糖的，只有商品本身富有的糖份哈""', '问题：""无糖的有不"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""<商品成分>是真的无糖吗？"", 答案：""根据商品""', '问题：""无糖吧"", 答案：""亲亲，我们的商品都是无蔗糖的 本身含糖的哦~""', '问题：""有没有无糖的"", 答案：""亲，我们的商品都是无蔗糖的""', '问题：""含糖吗哪里发货无糖的吧"", 答案：""亲亲，零添加蔗糖，只有商品本身赋有的糖份哈~""', '问题：""亲无糖的有那种"", 答案：""亲 我们是0添加蔗糖的哦""']",,
平台已退出介入，您可继续聊天,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""粉都出来了""},{""role"":""assistant"",""content"":""亲，可能是快递运输过程中挤压导致的哈，不影响食用的哦亲，您看为了给您有个好的购物体验，给您补偿1元可以吗""},{""role"":""user"",""content"":""都穿了一个口""},{""role"":""assistant"",""content"":""不影响食用的哈亲您看为了给您有个好的购物体验，给您补偿1元可以吗。""},{""role"":""user"",""content"":""2元""},{""role"":""assistant"",""content"":""可以的 亲""},{""role"":""user"",""content"":""平台已退出介入，您可继续聊天""}]",,确认收货后与我们联系哦,18,"['问题：""8元"", 答案：""我这边权限只能申请3元呢您看可以吗""', '问题：""4元"", 答案：""行吧 确认收货之后联系我""', '问题：""5块"", 答案：""亲亲我这边权限只能4元您看可以吗""', '问题：""3元吧"", 答案：""可以 确认收货后与我们联系哦""', '问题：""洒了包装袋里面都是"", 答案：""可以申请2元""', '问题：""发两元来"", 答案：""亲 没有明白您的意思""', '问题：""十元吧"", 答案：""抱歉亲申请不到哈""', '问题：""2"", 答案：""亲，确认收货以后联系我们帮您处理哈""']",,
,"[{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,18,,,
老板好，我点错了要退了,"[{""role"":""user"",""content"":""老板好，我点错了要退了""}]",亲，点错了要退货的话，可以直接申请退货退款哦~,亲，点错了要退货的话，可以直接申请款哦~,18,"['问题：""你好，不小心点错了给退了"", 答案：""亲 没事的哦 看到您已经重新下单了""', '问题：""我要退款点错了"", 答案：""亲，直接申请就可以哈~""', '问题：""老板，我要退货。搞错了"", 答案：""亲，申请退款即可哈~""', '问题：""我点错了，可不可以退货"", 答案：""亲，可以的，您只需要在订单中申请退款就可以哦""', '问题：""点错了不退货"", 答案：""好的亲，。您取消退货退款申请就可以哈""', '问题：""抱歉哈我刚刚点错了键，退了吧。"", 答案：""两单都退么？""', '问题：""不退了，我弄错了，对不起"", 答案：""没事哈""', '问题：""退错了"", 答案：""好的""']",,
买两斤送两斤。是可以选四个口味的吗？还是两种？,"[{""role"":""user"",""content"":""买两斤送两斤。是可以选四个口味的吗？还是两种？""}]",可以的，亲。下单随意搭配，选择口味发给客服吧备注哈~,,18,"['问题：""亲，买2斤送2斤的是可以发四个口味的吗"", 答案：""可以的，下单随意搭配，选择口味发给客服吧备注哈""', '问题：""好的买两斤送两斤可以选四种口味吗"", 答案：""可以的 亲""', '问题：""买一斤送一斤可以选口味不"", 答案：""选择随意搭配下单哈""', '问题：""买四斤可以选四个口味吧"", 答案：""拍随意搭配亲 拍完联系我备注口味""', '问题：""买2斤送2斤可以备注几种口味"", 答案：""四种""', '问题：""拍了 2 斤，是送 2 斤吗？可以随意搭配吗？"", 答案：""可以备注4种口味哦""', '问题：""拍这项是不是可以选择6个口味买一斤送一斤诶"", 答案：""一斤一个口味""', '问题：""买4斤有几种口味我要草莓味，芒果味，牛奶味，香芋味可以吗"", 答案：""亲 拍下随意搭配的选项""']",,
亲是纯胚牙吗,"[{""role"":""user"",""content"":""亲是纯胚牙吗""}]",亲亲，是的，我们的产品是纯胚芽哦。,,18,"['问题：""这个小麦胚芽是不是麦肤，吃起滿口渣"", 答案：""亲亲，这个小麦胚芽不是麦肤哦""', '问题：""这是你家的胚芽，"", 答案：""亲 是正常的哦""', '问题：""这个提取过胚芽油吗这个是瓶装的吗"", 答案：""亲，这个没有提取过胚芽油，是大罐和袋装的哦。两种""', '问题：""胚芽怎么碎呢？已前买都成片！"", 答案：""胚芽就是比较碎的亲""', '问题：""是麦麸皮哪有胚芽"", 答案：""亲亲，咱家是小麦胚芽哦加工过的哈""', '问题：""胚芽含糖量高吗"", 答案：""亲亲，商品本身会含有一点糖分""', '问题：""也没多少胚芽，都是皮子"", 答案：""亲亲，，胚芽和皮子都有哦。""']",,
和上次包装不一样，而且有黑点，，，,"[{""role"":""user"",""content"":""和上次包装不一样，而且有黑点，，，""}]",亲亲只是换了新包装哦质量都是一样的放心哈,亲亲只是换了新包装哦质量都是一样的放心哈,18,"['问题：""包装不一样"", 答案：""亲亲只是换了新包装哦质量都是一样的放心哈""', '问题：""这次发过来的包装都不一样"", 答案：""亲 这边给您补发一包可以吗""', '问题：""颜色发黑。与商家广告的不一致"", 答案：""亲保证质量的哈""', '问题：""之前没看到有这么多黑点，那几桶我都没打开要是那四桶也有黑的咋办"", 答案：""亲可以打开一桶看下哦""', '问题：""但是吃起来味道是不一样的而且香味也没有我想要那个老包装的，这个包装不行"", 答案：""亲 不会哦 只是包装不同 商品都是一样的""', '问题：""上面一层黑点"", 答案：""亲 我们是低温烘焙的 是焦化的情况 不影响您食用哦""', '问题：""怎么这个颜色，也很粗糙跟我买别家的怎么这么不一样"", 答案：""亲亲正常的哈咱家是纯黄瓜籽粉哈没有任何添加剂的""', '问题：""为啥？收到货，有的部分罐子变成扁的，罐子包装做的很粗糙的！！！"", 答案：""亲 拍照看下哦""']",,
,"[{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,18,,,
别太离谱,"[{""role"":""user"",""content"":""是""},{""role"":""user"",""content"":""退吧""},{""role"":""user"",""content"":""拆封了才知道不好用""},{""role"":""user"",""content"":""额""},{""role"":""user"",""content"":""那拆了的咋办？""},{""role"":""user"",""content"":""别太离谱""}]",亲 介意慎拍,,18,"['问题：""别在错了"", 答案：""好的亲""', '问题：""好离谱啊！"", 答案：""你好""', '问题：""不要发错了。"", 答案：""好的 已备注""', '问题：""别的不想多说"", 答案：""🌹""', '问题：""有点蒙圈"", 答案：""亲亲这个本身就是350g一罐的呢正常的哦""', '问题：""早点不说"", 答案：""实在抱歉亲""', '问题：""<退货规则>商品与页面描述不符"", 答案：""不涉及""', '问题：""我家是枣庄的没听说过啊"", 答案：""亲 介意慎拍""']",,
,"[{""role"":""user"",""content"":""""}]",,很高兴为您服务，请问有什么可以帮您？,"18,9",,,
还有一个就是凹下去了,"[{""role"":""user"",""content"":""你好""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""收到了""},{""role"":""assistant"",""content"":""好的 亲""},{""role"":""user"",""content"":""就这一个""},{""role"":""assistant"",""content"":""亲 拍下带有商品名称的照片哦""},{""role"":""assistant"",""content"":""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""},{""role"":""user"",""content"":""还有一个就是凹下去了""}]",亲，可能是打包的时候挤压导致的，不影响食用的哦,,18,"['问题：""压扁了"", 答案：""亲，可能是快递运输过程中挤压导致的哈，不影响食用的哦""', '问题：""还有这两个"", 答案：""亲，退款专员会处理的。您耐心等待下哈""', '问题：""亲有一个破掉了。"", 答案：""亲 实在是抱歉呢 这个不影响您食用 申请2元的补偿可以吗""', '问题：""还有一袋破洞了"", 答案：""可以等都收到之后看下亲""', '问题：""有一袋有个洞"", 答案：""您看下漏了几袋""', '问题：""这个有破损"", 答案：""亲看下破损几袋""', '问题：""破了两个洞好"", 答案：""亲，确认收货以后联系我们帮您处理哈""', '问题：""还有一个呢"", 答案：""这个我们不清楚的""']",,
好的谢谢老板,"[{""role"":""user"",""content"":""老板山药粉可以加无糖豆浆一起喝嘛""},{""role"":""assistant"",""content"":""可以的""},{""role"":""user"",""content"":""好的谢谢老板""}]",不客气,不客气,18,"['问题：""好的谢谢你"", 答案：""亲，好的""', '问题：""好的 谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""好的亲🌹""', '问题：""好的谢谢"", 答案：""拍下随意搭配的选项后与我们联系""', '问题：""好的谢谢"", 答案：""感谢支持""', '问题：""好的谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""客气了亲""']",,
好的。,"[{""role"":""user"",""content"":""老板你好！发的吃货一定要新鲜哟。谢谢你了[微笑]""},{""role"":""assistant"",""content"":""放心哈亲""},{""role"":""user"",""content"":""好的。""}]",嗯嗯,嗯嗯,18,"['问题：""好的。"", 答案：""好的""', '问题：""好的，"", 答案：""好的""', '问题：""好。"", 答案：""稍等""', '问题：""好的"", 答案：""好的亲🌹""', '问题：""我打开了一罐退俩罐一共三个退俩罐"", 答案：""好的""', '问题：""稍等"", 答案：""好的""', '问题：""三个"", 答案：""好的""']",,
什么时候发货？,"[{""role"":""user"",""content"":""什么时候发货？""}]",亲亲，正常48小时内发货呢~,,18,"['问题：""什么时候发货？"", 答案：""亲亲，正常48小时内发货呢""', '问题：""什么时候发货？"", 答案：""48小时发货""', '问题：""什么时候发货"", 答案：""已经发货了""', '问题：""什么时候发货"", 答案：""亲亲，正常48小时内发货呢""', '问题：""什么时间发货"", 答案：""下单48小时内发货亲""', '问题：""啥时候能发货？"", 答案：""下单48小时内发货亲""', '问题：""什么时候能发货呀"", 答案：""下单48小时内发货亲""']",,
成型了就有一层白色的,"[{""role"":""user"",""content"":""怎么有一层白色的""},{""role"":""user"",""content"":""怎么过滤""},{""role"":""user"",""content"":""用什么""},{""role"":""user"",""content"":""我没有那种小沙漏""},{""role"":""user"",""content"":""成型了就有一层白色的""}]",亲，这个可能是机器搅拌的时候残留的别的果蔬粉呢，不影响食用的哈。,,18,"['问题：""成型了，不是白色"", 答案：""亲亲成型了说明没有问题的哈""', '问题：""草莓味的颜色也是白色的吗？"", 答案：""成品会有颜色的亲""', '问题：""草莓味的怎么是白色的粉"", 答案：""是的亲 做出成品之后有颜色的""', '问题：""这个是正常的吗这个做出来只有上面一层是白色的，下面是带点儿透明的呢？"", 答案：""亲亲，这是正常的哦""', '问题：""做好了也是白色的吗"", 答案：""以实物为准的亲。您可以先少做一些看看效果哈""', '问题：""这个做出来只有上面一层是白色的，下面是带点儿透明的呢？"", 答案：""亲亲，这是正常的哦，我们家的果蔬粉都是纯天然的，颜色会稍微有些不同。""', '问题：""成品不白右边是原来包装做的，左边是现在包装做的"", 答案：""亲，这种情况大概率是没有搅拌均匀，或者如果是煮的话可能存在煮老了。""', '问题：""怎么撇，定型后才有那层白色的[汗] 要么切了不要，切又不好切"", 答案：""亲可以在成型之前增加搅拌时间然后过滤一下试下哦""']",,
为什么烧仙草吃起来带一点儿苦味儿了,"[{""role"":""user"",""content"":""我试了甜，就是因为甜我才放牛奶的""},{""role"":""assistant"",""content"":""亲，根据个人口味调整哈""},{""role"":""user"",""content"":""我放的是50双皮奶150纯牛奶150水""},{""role"":""user"",""content"":""甜就只能加水对吧""},{""role"":""assistant"",""content"":""亲，双皮奶粉本身就含糖的，或者适当多加一些水""},{""role"":""user"",""content"":""好的""},{""role"":""assistant"",""content"":""好的亲?""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""为什么烧仙草吃起来带一点儿苦味儿了""}]",亲亲，我们的产品口感很好哦，不会苦的,亲亲，我们的产品口感很好哦，不会苦的,"18,7","['问题：""有苦味儿没"", 答案：""亲亲，我们的产品口感很好哦""', '问题：""100克烧仙草600克水做了两次了都不行"", 答案：""亲 可以少放些水 搅拌哦""', '问题：""吃起来还有一股药味"", 答案：""亲 麻烦您拍下照片哦""', '问题：""老人喝了以后跟我说的有苦味不好喝"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""有苦味也不敢喝了"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""那咋喝着苦呢"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""口感不好有味"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""口感很难吃啊怎么回事"", 答案：""亲亲，每个人的口味都是不一样的哦""', '问题：""煮了一点不太好吃"", 答案：""亲亲，口感因人而异的哈""', '问题：""草莓味的吗我下单那个"", 答案：""不是的哦 亲""']",,
0添加？配料只有山药吗？,"[{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""0添加？配料只有山药吗？""}]",亲，是的，我们的山药粉是0添加的,亲，是的，我们的山药粉是0添加的,18,"['问题：""是正宗的吗，有没有天加"", 答案：""亲，是正宗的，没有添加""', '问题：""上次买那一家比你家多两块钱，人家又香又好吃，色泽好好看，粉粉的"", 答案：""亲咱这是没有添加剂的哈""', '问题：""黄爪子粉百分百真吗，放别的东西吗。"", 答案：""亲，纯的哈不添加别的哈""', '问题：""这个添加什么"", 答案：""亲亲，这个商品不需要添加任何东西哦 也可以根据自己的口味添加""', '问题：""亲，糖尿病人吃，血糖升高？"", 答案：""零添加蔗糖哈""', '问题：""买过几种山东产品，里面都没加。商品详情里没有含量"", 答案：""亲亲，配料表可以参考评论区，实物图""', '问题：""亲无糖的有那种"", 答案：""亲 我们是0添加蔗糖的哦""', '问题：""而且不是抹茶味的"", 答案：""没有添加剂的哈亲可能口感不会那么浓哈""']",,
好吧,"[{""role"":""user"",""content"":""好吧""}]",好的,好的,18,"['问题：""好吧"", 答案：""好的""', '问题：""好吧"", 答案：""亲，确认收货以后联系我们帮您处理哈""', '问题：""好吧"", 答案：""亲 确认收货后与我们联系""', '问题：""好吧"", 答案：""如果不行的话 按照给您发的比例再试下""', '问题：""好吧"", 答案：""您耐心等待下哈""']",,
怎么吃,"[{""role"":""user"",""content"":""怎么吃""}]",亲，冲泡即食的哦~,,18,"['问题：""怎么吃"", 答案：""冲泡即食的亲""', '问题：""怎么吃"", 答案：""热水冲泡即可""', '问题：""怎么吃？"", 答案：""亲。冲泡即食的""', '问题：""怎麼吃法"", 答案：""100度沸水冲泡 从内到外搅拌至均匀即可""', '问题：""怎么吃怎么吃"", 答案：""亲，热水冲泡即可哦~""', '问题：""怎么煮"", 答案：""很高兴为您服务，请问有什么可以帮您？""', '问题：""怎么煮"", 答案：""亲，参考下哈""', '问题：""食用方法"", 答案：""100度沸水冲泡 从内到外搅拌至均匀即可""']",,
